year,rain_50m_pct,rain_ks_pct,totbal_50m_pct,totbal_ks_pct
2000,4.127259290739687,,8.766520147778746,8.654638703177946
2001,4.614269555656641,,7.148315065528515,8.255824453675274
2002,1.6556676413226472,,2.887308312187936,0.2709298940910292
2003,0.7220145063039521,,2.6562115544212075,2.9655589123867245
2004,1.8441962240963874,,5.2466501398375405,7.587165527626529
2005,2.4598192620619375,,9.016672978206952,10.206605402869874
2006,4.553273172108999,,11.801596793041963,14.274317514058325
2007,4.738917594410386,,11.32776571285996,16.673502505483548
2008,4.83450239472306,,8.29219270648201,8.630240256973352
2009,2.7282626195505633,,4.582793520722777,0.8195504839800113
2010,1.6383171697982615,,4.488299005321508,-0.5144267274107718
2011,1.7610590698460473,,6.368403853575616,3.322980270356109
2012,2.4861302014754756,,7.907532590812904,8.24847083517817
2013,3.5580711460273946,,9.956752139752814,11.561909108691387
2014,4.524613173716145,,7.292836371777139,6.346314557914087
2015,4.9183112820175765,,9.204277625800616,1.1463844797178129
2016,5.339670484404995,,9.739579460548518,0.6073022225311057
2017,5.613689073156213,,8.315685242837946,1.730263681988375
2018,6.547734086613141,,11.724583884868974,11.455685731903563
2019,7.929661275870275,,13.993789848403326,15.71351382095324
2020,8.439703574914342,1.0887337986041876,12.7117289206807,7.6676636756397425
2021,10.288484495299269,1.1268884669363495,27.123898373562778,29.94991606813617
2022,11.595619374080973,11.82499206949562,34.59340484235403,34.20853566286814
2023,12.178619140344379,10.378791074366223,27.068066789965783,23.653351330830567
